name,URL,update_time,description,location,category,stage,social_media,age,create_time,close_time,employees,type,source
BYou Laser Clinic,https://www.byoulaserclinic.com/,None,"Description:
	Ready for the ultimate beauty experience? Look no further than BYou Manhattan - now conveniently located in the heart of the Big Apple! Our licensed aestheticians and injectors are pros at making everyone look their best. We have you covered on your cosmetic journey from laser to skin treatments, body contouring, or injections. Don't wait any longer- book a free consultation with our team today and let us help you be beautiful inside & out! 
Business Hours:
	Mon: 10:00 - 19:00
	Tue: 10:00 - 19:00
	Wed: 10:00 - 19:00
	Thu: 10:00 - 19:00
	Fri: 10:00 - 18:00
	Sat: 10:00 - 18:00
	Sun: Closed 
For more information, please contact us with the following details:
Contact Email:
manhattan@byoulaserclinic.com
Contact Telephone:
	+1 212-372-7331","United States, New York, NY 10016",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
The Wright Group,https://wrightgroupre.com/,None,"Description:
	Trusted, local Listing Specialists who will help you achieve your real estate goals and tell your home's story like no one else can. The Wright Group will MAXIMIZE your home's equity with unrivaled storytelling power and exceptional sales expertise!
Business Hours:
	Mon-Sun: 24 hours
Payment Methods:
	Financing Available, Personal Check
For more information, please contact us with the following details: 
Contact Telephone:
	+1 973-289-8972
Contact Email:
CWright@christiesrealestategroup.com
Other Social Media Profiles:
https://www.instagram.com/montclair.realestate/?hl=en","United States, Montclair, NJ 07042",['Other'],None,None,None,None,None,2,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Bling Cloud,https://www.bling.cloud,None,"Bling is All In One Customer Communication Platform.
 
Bling helps businesses manage all their customer communication in one single place powered by a unified inbox, VoIP business phone and an inbuilt CRM. We are backed by Techstars Atlanta powered by JP Morgan.
We offer Sales Dialer, VoIP based Business phone, IVR, Call Queue, Call Recording & Forwarding, Live Call Transfer, Click to Call, Call whispering, Smart CRM,  Integrations (with Social media,Google Gmail & calendar,Calendly, zapier, hubspot, pipedrive) Feature at one place.","United States, Los Angeles, CA, USA, CA 90036","['IT.SaaS', 'IT.Software']",None,None,None,None,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Scalp Micropigmentation in Chicago,https://www.microscalpchi.com/,None,"Chicago residents, both gentlemen and ladies, can now indulge in the wonders of scalp micropigmentation for an elevated hair transformation. Following the scalp micro pigmentation process, clients are treated to a delicately refined and authentic hair enhancement. While the results boast long-lasting qualities, a gradual fade over time may necessitate periodic touch-up treatments to sustain your preferred visual outcome.","United States, Lansing, IL 60438",['Fashion / Lifestyle / Textile'],Co-Founder,None,None,2020/02/2,None,50,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Auto Buyers Market,https://www.autobuyersmarket.com,None,"Shop used cars for sale by participating dealers; research and compare different makes, models, and prices; and find local dealers throughout the United States.
For Shoppers:
Auto Buyers Market helps users find used cars for sale by syndicating inventory from our ""participating dealerships."" We pre-screen these dealerships, ensuring legitimacy and financing options. Our service is free to consumers.
For Dealers:
Our website connects local consumers with their desired vehicles through participating dealerships. We leverage behavioral advertising to achieve this efficiently. Our experience in the used car industry helps dealers effectively market their inventory to a wide audience at a low cost. Dealers pay a minimal fee for inclusion.","United States, West Palm Beach, FL 33401",['Automotive and Services'],Shipping,None,None,2022/01/1,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Kimberlite Partners,https://www.kimberlitepartners.com,None,"In the current subscription economy, everyone is looking for the diamonds of additional ARR, higher renewals, increased stickiness, and higher satisfaction with their installed base. 
Kimberlite Partners, named after the rock most sought after for its diamond content, was formed to help Software Providers and Solution Providers find these subscription diamonds. 
With a deep understanding of how to turn professional Services into ARR through Managed Application Consulting (MAC) offerings, Kimberlite Partners will provide the skills to develop, execute, manage, and deliver your MAC solution through a combination of consulting, system solutions, and a white label delivery team.  
Services range from MAC Evaluation to a turnkey MAC-in-a-Box.","United States, San Jose, CA 95125",['Management Consulting'],Mature,None,None,2020/01/1,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Order Ativan Online Home Delivery,https://frozenpainkiller.mystrikingly.com/,None,"Order Ativan Online - Compare Ativan Prices and Order Buy Ativan online without prescription fast delivery. We offer high quality generic Ativan at discounted price from a trusted online pharmacy . Buy Ativan online without prescription and save money. If you are looking to buy discount Ativan and other drugs online, then visit us as we offer you the best prices on the entire internet. We also offer a great choice of special offers, deals and discounts on all our online drugs.
CLICK HERE TO ORDER NOW
Super provides all medicines! ©2010-2023.
	Coupon Code: SALE10
	FDA Approved Legit Pharmacy
	Top pharmacy list! Best price online!
	24/7 customer support!
	Many payment options:
	Visa, MasterCard, eCheck, Amex, wire transfer, etc.
	Shopping is 100% safe as we have been in business for many years.
	Fast and guaranteed worldwide shipping!
	Free bonus pills with every order!
	Guaranteed shipping to the USA.
	No prescription required.","United States, New York, HI 46601",['Automotive and Services'],Idea,None,None,1993/02/2,None,500,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Taylor-Made Health and Wellness,https://tayloredwellness.com,None,"Experience total wellness at Taylore Wellness, your trusted chiropractor, Clermont. Our dedicated team is committed to improving your health and well-being through personalized chiropractic care. Discover relief and vitality. Visit our clinic today.","India, Clermont Punjab 34711",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Nector,https://nector.io/,None,"Nector is a loyalty and referral app designed for e-commerce businesses of any size, as well as marketing professionals. It offers a user-friendly interface, seamless integration with popular e-commerce platforms, and affordable pricing plans, making it accessible and manageable. Nector enables businesses to create and manage effective loyalty programs, track referral performance, gather customer insights, and ultimately enhance customer loyalty, drive growth, and optimize marketing strategies. Additionally, it benefits customers by providing rewards and exclusive discounts, while encouraging them to refer friends and family, fostering a mutually beneficial relationship.
Shopify Loyalty App","United States, New York, NY 10009",['E-commerce'],Shipping,None,None,None,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Singing Springs Resort,https://singingspringsresort.com,None,Phone: 541-247-6162,"United States, Agness, OR 97406",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Excel Steel,https://excel-steel.com/,None,"Address:
	424 Berlin Street, East Berlin, Connecticut, 06023-1125
Website:
https://excel-steel.com/
Description:
	If you are looking for a steel fabrication CT company, look no further than Excel Steel. We are fabrication experts and specialize in welding, erecting, structural detailing and miscellaneous metal. We provide both residential and commercial services, no job is too big for us! If you need a structure designed, built, delivered and installed, allow us to be your solution. We have over 60 years of combined experience and provide expert services.
List of Services:
	Welding
	Drilling
	Bending Shearing Plasma Cutting
Number of Employees:
	15
Business Hours:
	Mon: 07:00 - 15:30
	Tue: 07:00 - 15:30
	Wed: 07:00 - 15:30
	Thu: 07:00 - 15:30
	Fri: 07:00 - 15:30
	Sat: Closed
	Sun: Closed
Date of Company Formation:
	2018
Payment Methods:
	Cash, Personal Check, Visa, Invoice, Financing Available, Mastercard, Insurance, PayPal, American Express, ATM / Debit, Discover
For more information, please contact us with the following details:
Contact Telephone:
	860-854-3054
Contact Email:
info@excel-steel.com
Social Media Profiles: 
https://www.instagram.com/excelsteelct/","United States, East Berlin, CT 06023-1125",['Other'],None,None,None,2018/01/1,None,15,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
J. Juniper,https://jjuniper.net/,None,"J. Juniper has been an aspiring actress, since the age of 3. By the age of seventeen, however, it had become abundantly clear to her father that she was going to need a second career choice to support herself after graduation.","United States, Friendswood, TX -",['Printing and Publishing'],None,None,None,None,None,1,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Massage By Lea,https://massage-by-lea.chrone.work/,None,"Through personalized massages, we can target the vital areas you need the most work on; with an assortment of organic and hypoallergenic products, you can relax knowing your skin is being nourished. We are committed to bringing a more fulfilling experience to you. We at Massage by Lea aim to help you feel rejuvenated, full of energy, and satisfied. We can come to you or you can come to us. Best Massage Therapist in Cape Coral. Book us on : https://massage-by-lea.chrone.work/","United States, Cape Coral, FL 33904",['Startup Services'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
