name,URL,update_time,description,location,category,stage,social_media,age,create_time,close_time,employees,type,source
Time Etc Limited,https://web.timeetc.co.uk/,None,"Description:
	Time etc is a virtual assistant service dedicated to freeing up your time and helping you achieve more. Based in Birmingham, our virtual assistants seamlessly integrate with your company anywhere in the UK.
Business Hours: 
	Mon - Fri: 08:30 - 17:30
	Sat: Closed
	Sun: Closed
For more information, please contact us with the following details: 
Contact Telephone: 
	0333 210 0230
Contact Email: 
hello@timeetc.com
Social Media Profiles: 
https://www.linkedin.com/company/time-etc-limited/",None,['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Davidsons Homes Mapperley - Alexandra Place,https://davidsonsgroup.co.uk/developments/davidsons-at-mapperley-plains/?utm_source=citations&utm_medium=organic,None,"Description:
	A wide range of two, three, four and five-bedroom homes in Mapperley Plains on the outskirts of Nottingham, providing options for everyone from first-time buyers through to those looking for their forever home. Situated just 20 minutes from the centre of Nottingham and six miles from the M1, Alexandra Place provides the perfect option for commuters.
Business Hours:
	Mon: 12:00 - 17:00
	Tue: Closed
	Wed: Closed
	Thu: 10:00 - 17:00
	Fri: 10:00 - 17:00
	Sat: 10:00 - 17:00
	Sun: 10:00 - 17:00
For more information, please contact us with the following details:
Contact Email:
alexandraplace@davidsonsgroup.co.uk
Contact Telephone:
	07584 440753",None,['Real Estate'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Chatton Park House 5 Star Luxury Bed and Breakfast northumberland,https://www.chattonpark.com/,None,"Description:
	Chatton Park Adult Only is an award-winning luxury Northumberland estate, offering 5 star adult only B&B accommodation in the main house and a separate private detached 5 star cottage in its own grounds.
Business Hours: 
	Mon-Sun: 08:00 - 21:00
For more information, please contact us with the following details: 
Contact Telephone: 
	+44 1668 215507
Contact Email: 
enquiries@chattonpark.com",None,['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
KYC Hub,https://www.kychub.com,None,"KYC Hub enables organizations to mitigate the risk of financial crime via our workflow orchestration and risk engine that enables rapid building and deployment of due diligence workflows for different use cases. Powered by our AI-enabled APIs and proprietary knowledge graphs, we empower our clients to revolutionize their financial crime risk management.",None,['Financial Services'],Mature,None,None,2018/09/8,None,50,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Canvas,https://www.canvas-events.co.uk,None,"Canvas is a marketplace with handpicked venues for every type of event. Canvas is free for event planners to use, and we never charge a commission, so you'll always get the best deals a venue can offer.
For busy venue managers who don't have time to chase event inquiries, Canvas is a marketplace that brings leads directly to your inbox. Unlike other event agencies, Canvas is a membership and never charges a commission, so all the profits of your events go straight into your pockets.",None,['Startup Services'],Shipping,None,None,2013/06/1,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Deepwrk,https://www.deepwrk.io/,None,"Deepwrk is an online coworking and body doubling app that helps ADHD adults get more done, together.
Deepwrk integrates coworking, gamification, and community to help people with ADHD focus, escape distractions and get more done when working from home.
The platform facilitates body doubling sessions which help members start, stay on track and complete tasks. Users join online deep work sprints and complete their individual tasks in the presence of others. These sprints serve as an anchor that helps those with ADHD avoid distractions, boost motivation and maintain focus. 
The deep work sprints are typically 1 or 2 hours long. During these sessions, members join a small group where they share goals, work on their individual tasks (in silence) and, in the end, check in to discuss progress.
Deepwrk also empowers users to track their progress and provides incentives to maintain focus and consistency. The platform combines gamification rooted in behavioural science with a sense of community to make even the most challenging and tedious tasks more enjoyable and easier to complete.
Deepwrk is a platform specifically designed for people with ADHD who work remotely or from home. It brings out the best parts of the office - a sense of community and gentle social accountability - without the dreaded commute and relentless distractions.
Above else, Deepwrk is a community for ADHD adults to do more and feel supported, connected, and understood.",None,['IT.SaaS'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
House Of Marketers,https://www.houseofmarketers.com/,None,We’re a team of experienced TikTok Influencer Marketing experts that have insider knowledge of how TikTok works. We help ambitious brands engage Gen Z and Millennials using proven up to date strategies.,None,['Advertising / PR / Marketing'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Ingenio Technologies,https://www.ingeniotech.co.uk/,None,"Description:
	Delivering IT Support in Brighton and outsourced IT Services Sussex.
	With Telecoms and IT outsourcing help to Sussex and Surrey since 2005. We provide related services including managed IT support, cyber-security, Office 365, cloud computing – all delivered with exceptional customer service. Every call has a 15 minute response time. Every technician is experienced and certified. Every IT project we do is on time and to budget. Contact Ingenio Technologies today.
Business Hours:
	Mon-Fri: 08:00 - 18:00
	Sat-Sun: Closed
Payment Methods:
	Visa, Invoice, Mastercard
For more information, please contact us with the following details: 
Contact Telephone:
	+44 1273 806211
Contact Email:
hello@ingeniotech.co.uk
Other Social Media Profiles:
https://www.instagram.com/ingenio_tech/
https://www.instagram.com/ingenio_tech/
https://www.linkedin.com/company/ingenio-technologies/",None,['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Boxed Community,https://boxedcommunity.com,None,"Boxed Community provides empathic and sustainable support to entrepreneurs and business leaders.
Our activity is structured around facilitating regular and meaningful connection and collaboration. The opportunities we provide for learning, development, focused work, and self-reflection are specifically designed to address the loneliness, isolation, and self-doubt of today's leaders, as well as help them grow their businesses.",None,['Management Consulting'],Shipping,None,None,2019/01/1,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
David Simpson Apps,https://www.dsapps.dev,None,"David Simpson Apps is a SaaS company based in Nottingham, England.
We specialize in creating apps and integrations that add value for Atlassian and monday-com customers. Our goal is to bring systems together, empowering teams to make faster and more informed decisions.
With over 15 years of experience, we have built a strong reputation in developing applications for both cloud-native and on-premise systems within the Atlassian ecosystem and community.",None,['IT.Software'],Shipping,None,None,2020/03/20,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
