name,URL,update_time,description,location,category,stage,social_media,age,create_time,close_time,employees,type
"['Org1', 'Quality Heat & Aire']",None,None,"['Org1', 'Phone: 423-246-6833']","['Org1', 'United States, Kingsport, TN 37664']","['Org1', ['Other']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'North Port Trees']",None,None,"['Org1', 'Description:\n\tNorth Port Trees is a professional tree service located right here in North Port, Florida. We do tree removal, tree trimming, stump removal, stump grinding, as well as land clearing.\nNot only are we local, but we also strictly follow the national safety standards like Osha and ANSI, to make sure that we protect your property, and give you the highest quality tree service possible.\nBusiness hours:\n\tMon-Sun: Open 24 Hours\nPayment Method:\n\tVisa, ATM / Debit, Mastercard, American Express, PayPal, Discover, Cash\nFor more information, please contact us with the details below:\nContact Telephone:\n\t(941) 347-0739\nContact Email:\nnorthporttrees@gmail.com']","['Org1', 'United States, North Port, FL 34288']","['Org1', ['Other']]","['Org1', 'None']",None,None,"['Org1', '2017/01/1']",None,"['Org1', '1']",None
"['Org1', 'Navidium App']",None,None,"['Org1', ""The #1 platform disrupting traditional shipping insurance by turning lost, stolen, or damaged deliveries into profit for merchants. Seamlessly collect shipping protection fees, keep 100% of those fees, manage claims, and provide stellar customer support throughout your customers' shopping journey with Navidium Shipping Protection. Manage claims in house while leveraging protection fees to cover your losses when an inevitable shipping error occurs. Whatever is left each month becomes your profit.""]","['Org1', 'United States, Brooklyn, NY 11218']","['Org1', ['E-commerce']]","['Org1', 'Shipping']",None,None,"['Org1', '2021/11/26']",None,"['Org1', '5']",None
"['Org1', 'moebeltransport-in-ingolstadt.de']",None,None,"['Org1', 'Wir sind Ihr Möbeltransport Experte in Ingolstadt – auf unserer Seite finden Sie alles, was Sie für einen unkomplizierten Transport Ihrer Möbel in Ingolstadt brauchen. Jetzt unser Möbeltaxi anfragen & sparen!']","['Org1', 'Germany, 85053 Ingolstadt']","['Org1', ['Other']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Panduan Mudah Cara Daftar Vivoslot Terbaru']",None,None,"['Org1', 'Jika Anda mencari panduan yang mudah dan terbaru untuk mendaftar di Vivoslot, Anda telah datang ke tempat yang tepat. Dalam posting ini, kami akan memberikan panduan lengkap tentang cara daftar Vivoslot terbaru, sehingga Anda dapat memulai petualangan bermain slot dengan mudah dan cepat.\nCara daftar Vivoslot terbaru sangatlah sederhana dan tidak memerlukan waktu yang lama. Langkah pertama yang perlu Anda lakukan adalah mengunjungi situs resmi Vivoslot. Setelah itu, Anda akan melihat tombol ""Daftar"" di halaman utama. Klik tombol ini untuk melanjutkan proses pendaftaran.\nSetelah Anda mengklik tombol ""Daftar"", Anda akan diarahkan ke halaman pendaftaran yang berisi formulir yang perlu Anda isi. Pastikan untuk mengisi semua informasi yang diperlukan dengan benar dan lengkap. Informasi yang diminta biasanya meliputi nama lengkap, alamat email, nomor telepon, dan kata sandi. Pastikan untuk memilih kata sandi yang kuat.\nSetelah Anda mengisi formulir pendaftaran dengan benar, Anda akan diminta untuk memverifikasi akun Anda. Biasanya, ini dilakukan melalui email yang dikirimkan ke alamat email yang Anda daftarkan. Cek kotak masuk atau folder spam Anda untuk menemukan email tersebut dan ikuti petunjuk verifikasi yang diberikan.\nSetelah Anda memverifikasi akun Anda, Anda siap untuk memulai petualangan bermain slot di Vivoslot. Anda dapat melakukan login ke akun Anda dengan menggunakan alamat email dan kata sandi yang Anda daftarkan. Pastinya sangat mudah proses cara daftar Vivoslot untuk Anda pahami.\nVivoslot menawarkan berbagai macam permainan slot yang menarik dan menghibur. Anda dapat menemukan berbagai tema dan fitur menarik dalam permainan mereka. Selain itu, Vivoslot juga menawarkan bonus dan promosi yang menggiurkan untuk member baru. Segera daftar akun Vivoslot secara mudah.\nSelain itu, Vivoslot juga menyediakan layanan pelanggan yang responsif dan profesional. Jika Anda memiliki pertanyaan atau masalah selama bermain, Anda dapat menghubungi tim dukungan mereka melalui live chat atau email. Mereka akan dengan senang hati membantu Anda dengan segala kebutuhan Anda.\nDalam posting ini, kami telah memberikan panduan mudah dan terbaru tentang cara daftar Vivoslot. Dengan mengikuti langkah-langkah yang kami berikan, bergabung dengan komunitas Vivoslot akan mudah dan menikmati pengalaman bermain slot yang menyenangkan. Jadi, tunggu apa lagi? cara daftar Vivoslot sekarang juga dan nikmati keseruan bermain slot online dengan mudah.']","['Org1', 'Indonesia, Jakarta 11450 DKI Jakarta']","['Org1', ['IT.Gaming']]","['Org1', 'Co-Founder']",None,None,"['Org1', '2020/06/3']",None,"['Org1', '188']",None
"['Org1', 'Situs Live Slot88 Jackpot Terbesar QJoker123']",None,None,"['Org1', 'Memanfaatkan perkembangan teknologi yang semakin pesat, QJoker123 hadir dengan pengalaman bermain yang tak terlupakan melalui fitur live slot88 yang menarik. Dengan hadirnya slot online, para pemain dapat merasakan sensasi bermain secara langsung dan menikmati keseruan yang sebenarnya.\nLive slot88 menawarkan berbagai jenis permainan yang menarik dan menantang. Dari mesin slot klasik hingga tema yang lebih modern, tersedia banyak pilihan permainan yang dapat menghibur dan mendebarkan. Para pemain dapat memilih permainan favorit mereka dan menikmati pengalaman bermain yang tak tertandingi.\nSalah satu hal yang membuat live slot88 menjadi begitu menarik adalah peluang besar untuk memenangkan jackpot. Jackpot merupakan hadiah besar yang bisa diraih oleh pemain dengan keberuntungan dan strategi yang tepat. Dengan setiap putaran yang dilakukan, kesempatan pemain untuk meraih jackpot semakin besar, sehingga memberikan keseruan dan kegembiraan yang luar biasa.\nSelain keseruan bermain dan peluang besar untuk memenangkan jackpot, QJoker123 juga menawarkan berbagai bonus dan promosi menarik untuk para pemain live slot88. Dengan bonus dan promosi yang melimpah, pemain memiliki kesempatan ekstra untuk meningkatkan kemenangan mereka dan meraih keuntungan lebih besar.\nBergabung dengan situs live slot88 QJoker123 juga memberikan keuntungan lainnya, seperti layanan pelanggan yang profesional dan ramah. Tim layanan pelanggan yang tersedia 24/7 siap membantu para pemain dalam segala hal yang mereka butuhkan. Dengan demikian, pemain dapat merasa nyaman dan aman saat bermain.\nUntuk bergabung dengan situs ini, pemain hanya perlu mendaftar akun secara gratis dan melakukan deposit. Setelah itu, pemain dapat langsung memilih permainan yang mereka inginkan dan merasakan sensasi bermain live slot88 yang tak terlupakan. Hal tersebut dikarenakan ada banyak sekali permainan yang sangat keran dan memukau.\nJadi, tunggu apa lagi? Rasakan sensasi bermain live slot88 dan dapatkan kesempatan besar untuk memenangkan jackpot. Bergabunglah sekarang dan buktikan keberuntunganmu. Jadilah bagian dari komunitas pemain yang sukses dan nikmati pengalaman bermain yang tak terlupakan. Situs ini selalu siap memanjakanmu dengan berbagai keuntungan dan keseruan yang menarik.']","['Org1', 'Indonesia, Jakarta 11450 DKI Jakarta']","['Org1', ['IT.Gaming']]","['Org1', 'Co-Founder']",None,None,"['Org1', '1995/03/3']",None,"['Org1', '201']",None
"['Org1', 'Chicago Counseling']",None,None,"['Org1', 'Chicago Psychotherapist | Mental Health Counseling Online – Chicago Counseling; No matter what you’re dealing with, schedule an appointment with a licensed therapist from Chicago Counseling to get counseling for mental health online and in-person in our Chicago location.']","['Org1', 'United States, Chicago, IL 60611']","['Org1', ['Healthcare / Medical Services']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'moebeltransport-in-hildesheim.de']",None,None,"['Org1', 'Wir sind Ihr Möbeltransport Experte in Hildesheim – auf unserer Seite finden Sie alles, was Sie für einen unkomplizierten Transport Ihrer Möbel in Hildesheim brauchen. Jetzt unser Möbeltaxi anfragen & sparen!']","['Org1', 'Germany, 31137 Hildesheim']","['Org1', ['Other']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Label Saaz- Designer and Ethnic']",None,None,"['Org1', 'Label Saaz is a Designer & Ethnic wear Brand focusing on Bridal & Non Bridal Lehengas, Gowns, Sarees and much more. Visit our store in Saheed Nagar, Bhubaneswar.']","['Org1', 'India, Bhubaneshwar Odisha 751007']","['Org1', ['Retail']]","['Org1', 'Shipping']",None,None,"['Org1', '2020/07/12']",None,"['Org1', '20']",None
"['Org1', 'NEARXPIRY']",None,None,"['Org1', 'NearXpiry is an IT infrastructure and unique ecosystem for the pharmaceutical industry which can save lives and our nature by proper using of unused or expired medicines. This platform will cut down the break between demand and supply of generic medicines. This software is useful for manufacturer, C&F’s, Distributors, Dealer and consumer. NearXpiry can help in minimising the environemntal pollution.\n\tOur aim is to reducing the losses and improving the re-collection process of generic unused or expired medicines which is brutaly impacting our environment. We endeavor to improve the controlling and monitoring of the entire pharmaeutical industry and practicing to optimisation the production and demand of genric drugs.']","['Org1', 'India, Jaipur Rajasthan 302017']","['Org1', ['Healthcare / Medical Services']]","['Org1', 'Development and Testing']",None,None,"['Org1', '2023/01/1']",None,"['Org1', '12']",None
"['Org1', 'Rocky Mountain Garage Pros']",None,None,"['Org1', ""Description:\n\tRocky Mountain Garage Pros is the leading installer of polyurea, epoxy, and polyaspartic coatings in Salt Lake County and surrounding areas. Our incredibly durable coatings can be installed in just one day, transforming your garage floor into a beautiful and functional space. We're committed to providing our customers with quality products and services at an affordable price.\nBusiness Hours:\n\tMon-Fri: 8:00am - 6:00pm\n\tSat-Sun: Closed\nFor more information, please contact us with the following details:\nContact Telephone:\n\t(801) 815-1559\nContact Email:\nbennett@rmgaragepros.com\nMobile Number:\n\t+1 435 790 9088\nSocial Media Profiles:\nhttps://www.instagram.com/rocky.mountain.garage.pros/""]","['Org1', 'United States, Salt Lake City, UT 84104']","['Org1', ['Other']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'CryptoJobster']",None,None,"['Org1', ""At CryptoJobster, we believe that blockchain technology is the world's future. That's why we are dedicated to curating the best new blockchain jobs available at leading companies and startups utilizing this technology.\nIf you are passionate about blockchain and want to work at industry-leading companies and startups, we invite you to explore our job board and apply for positions that align with your interests.""]","['Org1', 'United States, San Fransisco, CA 94102']","['Org1', ['IT.Software']]","['Org1', 'Shipping']",None,None,"['Org1', '2022/07/8']",None,"['Org1', '10']",None
"['Org1', 'Situs Slot OSG777 Asia Terpercaya di QJoker123']",None,None,"['Org1', 'Jika Anda seorang pecinta game slot online, maka Anda harus mencoba bermain slot online dengan osg777 Asia di QJoker123. Situs ini menawarkan berbagai macam permainan slot yang menarik dan menghibur, serta peluang besar untuk memenangkan jackpot yang menggiurkan. Sekarang ini kita akan membahas tentang keunggulan permainan game slot online di situs kami dan mengapa Anda harus mencoba keberuntungan Anda di situs osg777 Asia.\nSalah satu alasan utama mengapa osg777 Asia di QJoker123 menjadi pilihan terbaik untuk bermain game slot online adalah karena pilihan permainannya yang beragam. Situs ini menawarkan ratusan permainan slot dari berbagai penyedia terkemuka di industri, seperti Pragmatic Play, Microgaming, dan banyak lagi. Dengan begitu banyak pilihan yang tersedia, Anda tidak akan pernah bosan dan selalu memiliki sesuatu yang baru untuk dinikmati setiap kali Anda masuk.\nAnda dapat memilih dari berbagai tema permainan slot osg777 Asia. Mulai dari tema fantasi, petualangan, hingga tema klasik yang terinspirasi dari mesin slot tradisional. Setiap permainan memiliki fitur dan bonus yang berbeda. Sehingga Anda akan selalu menemukan sesuatu yang sesuai dengan selera dan preferensi Anda. Dengan pilihan permainan yang beragam, Anda dapat menjelajahi dunia game slot online osg777 Asia di situs ini dengan keberuntungan Anda.\nSelain itu, situs ini terus memperbarui koleksi permainan dengan peluncuran permainan baru secara berkala. Ini berarti Anda akan selalu memiliki akses ke game-game terbaru dan paling populer di dunia game slot online. Dengan adanya pembaruan reguler ini, Anda tidak akan ketinggalan pengalaman bermain terbaru dan dapat menikmati sensasi dari game-game yang sedang naik daun. Dengan pilihan permainan yang beragam, Anda dapat menjelajahi dunia game slot online osg777 Asia di situs kami dengan keberuntungan Anda.\nSekarang kita telah membahas tentang keunggulan bermain game slot online osg777 Asia di QJoker123. Serta alasan mengapa Anda harus mencoba keberuntungan Anda di situs ini. Dengan pilihan permainan yang beragam, Anda dapat menjelajahi dunia game slot online dengan keberuntungan Anda. Nikmati pengalaman bermain game slot online terbaik serta nikmati keseruan dan menangkan jackpot besar.']","['Org1', 'Indonesia, Jakarta 11450 DKI Jakarta']","['Org1', ['IT.Gaming']]","['Org1', 'Co-Founder']",None,None,"['Org1', '1996/06/4']",None,"['Org1', '205']",None
