name,URL,update_time,description,location,category,stage,social_media,age,create_time,close_time,employees,type,source
Venice Nail Lounge,https://venicenailloungelasvegas.com,None,Phone: 702-270-4928,"United States, Las Vegas, NV 89123",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Friesz Family & Cosmetic Dentistry,https://www.frieszfamilydentistry.com/,None,"Description:
	Dental care shouldn't be scary. At Friesz Family Dentistry, we're committed to providing top-quality dental health services while promoting a comfortable and friendly environment. We understand people of all ages struggle with coming into the dentist's office, but we're here to make your experience a positive one. Located in St. Cloud, MN, we're proud to help improve our community's health and confidence.
Business Hours: 
	Mon: 08:00 - 17:00
	Tue: 08:00 - 17:00
	Wed: 08:00 - 17:00
	Thu: 08:00 - 17:00
	Fri: Closed
	Sat: Closed
	Sun: Closed
Payment Methods: 
	Cash, Personal Check, Visa, Financing Available, Mastercard, Insurance, American Express, ATM / Debit, Discover
For more information, please contact us with the following details: 
Contact Telephone: 
	(320) 253-1370","United States, St. Cloud, MN 56301",['Other'],None,None,None,None,None,9,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Momad,https://www.momad.io,None,"Storage for the modern nomad. Say goodbye to heavy boxes and icky self-storage. Say hello to effortless pickups, a full online catalog of every item, and deliveries with the click of a button. Access any item when and where you want it. Spend your time on the things that matter most; let Momad handle the rest. Schedule your free pickup today!","United States, Miami Beach, FL 33109",['Startup Services'],Co-Founder,None,None,2022/03/1,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
San Mateo Automotive Service,https://sanmateoautomotiveservice.com,None,Phone: 650-212-7986,"United States, San Mateo, CA 94403",['Automotive and Services'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Absolute Dental,https://www.yourabsolutedental.com/,None,"Description:
Absolute Dental's Patient Driven & Technology Focused philosophy gives our patients the opportunity to have more of their dental needs performed in our state of the art clinic. From dental cleanings to smile makeovers, Absolute Dental has the experienced dentists, specialty dentists and technology to give you the smile you desire. Listening to our patients and answering their questions are the first and most important steps to delivering a smile that exceeds our patients' expectations. 
Business Hours:
Mon: 8:30am - 7:00pm
	Tue: 8:30am - 5:00pm
	Wed: 8:30am - 7:00pm
	Thu: 8:30am - 5:00pm
	Fri: 8:30am - 1:00pm
	Sat: 9:00am - 1:00pm
	Sun: Closed
Payment Methods:
Cash, Insurance, Visa, Mastercard, American Express, Financing Available, Personal Check, Discover, Invoice
For more information, please contact us with the following details:
Contact Email:
rajsingh@yourabsolutedental.com
Contact Telephone:
+1 708-326-1175","United States, Orland Park, IL 60467",['Healthcare / Medical Services'],None,None,None,2008/01/1,None,8,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Oriental Garden,https://orientalgardenanchorage.com/,None,Phone: 907-338-2272,"United States, Anchorage, AK 99504",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
National Pancreatic Cancer Foundation,https://www.npcf.us/,None,"Description:
	The National Pancreatic Cancer Foundation (NPCF) is a nonprofit organization founded in 2009. We provide unwavering support to patients touched by pancreatic cancer. We work to provide a longer and better quality of life, to people affected by pancreatic cancer. Through our volunteers, we provide an opportunity to care for those afflicted by this devastating disease. We help family members to find support and community while they join the fight. Mail donations to PO Box 189, Box Elder, SD 57719.
Business Hours:
	Mon: 09:00 - 15:00
	Tue: 09:00 - 15:00
	Wed: 09:00 - 15:00
	Thu: 09:00 - 15:00
	Fri: Closed
	Sat: Closed
	Sun: Closed
Payment Methods:
	Cash, Personal Check, Visa, Mastercard, ATM / Debit, American Express, Discover
For more information, please contact us with the following details:
Contact Telephone:
	(800) 859-6723
Contact Email:
rhonda@npcf.us
Social Media Profiles: 
https://www.instagram.com/hope4pc/?hl=en","United States, Rapid City, SD 57703",['Other'],None,None,None,2009/01/1,None,2,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Succulents and Sunshine,https://www.succulentsandsunshine.com,None,"Succulents and Sunshine helps people all over the world learn how to grow healthy succulents, even if they don't live in the perfect climate. On our platform, you will find helpful articles, videos, and tutorials to help you care for your succulents. 
Gardening is supposed to be fun, and we're here to help.","United States, Gilbert, AZ 85296",['Other'],Shipping,None,None,2013/05/29,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
TPR Teaching,https://www.tprteaching.com,None,"TPR Teaching is proud to declare its purpose to inform and encourage those who want to tutor languages online or overseas. They are a prominent producer of educational content focused on language acquisition, particularly English language learning and language teaching.
The mission at TPR Teaching is to make language learning accessible and enjoyable for everyone.
TPR Teaching Blog aims to empower language learners and teachers, fostering a global community of language enthusiasts.","United States, Garden City, ID 83714",['Education'],Shipping,None,None,2020/02/17,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Filippatos PLLC,https://www.filippatoslaw.com/,None,"Description:
	We fight for fairness and justice in the workplace. Through strategic thinking and tactical expertise, we forcefully leverage our advocacy skills to win innovative and compassionate solutions that are both lucrative and restorative for our clients. Based in White plains, NY, our areas of practice include employment law, litigation, ADR regarding discrimination, harassment, and retaliation based on race, gender, gender identity, sex, sexual orientation, pregnancy, and disabilities.
Business Hours:
	Mon-Fri: 08:00 - 19:00, Sat-Sun: Closed
For more information, please contact us with the following details: 
Contact Telephone:
	+1 914-984-1111","United States, White Plains, NY 10601",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
